,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,award,biourl,movie,person,bioLink,movie_IMDB_Link,rating_bin,runtime_bin
20,"London, England",27-Jul-1880,White,Unknown,Straight,1942,Best Supporting Actor,http://www.nndb.com/people/689/000031596/,How Green Was My Valley,Donald Crisp,https://www.imdb.com/name/nm0187981/,https://www.imdb.com/title/tt0033729/,8.0,2.0
21,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-1902,White,Unknown,Straight,1943,Best Director,http://www.nndb.com/people/463/000032367/,Mrs. Miniver,William Wyler,https://www.imdb.com/name/nm0943758/,https://www.imdb.com/title/tt0035093/,8.0,2.0
22,"London, England",29-Sep-04,White,Unknown,Straight,1942,Best Actress,http://www.nndb.com/people/293/000044161/,Mrs. Miniver,Greer Garson,https://www.imdb.com/name/nm0002093/awards,https://www.imdb.com/title/tt0035093/,8.0,2.0
23,New York City,27-Oct-18,White,Unknown,Straight,1943,Best Supporting Actress,http://www.nndb.com/people/580/000045445/,Mrs. Miniver,Teresa Wright,https://www.imdb.com/name/nm0942863/,https://www.imdb.com/title/tt0035093/,8.0,2.0
24,"Budapest, Hungary",24-Dec-1886,White,Unknown,Straight,1944,Best Director,http://www.nndb.com/people/676/000032580/,Casablanca,Michael Curtiz,https://www.imdb.com/name/nm0002031/awards,https://www.imdb.com/title/tt0034583/,8.0,1.5
25,"Los Angeles, Ca",3-Oct-1898,White,Unknown,Straight,1945,Best Director,http://www.nndb.com/people/380/000044248/,Going My Way,Leo McCarey,https://www.imdb.com/name/nm0564970/,https://www.imdb.com/title/tt0036872/,7.0,2.0
26,"Tacoma, Wa",3-May-1903,White,Christian,Straight,1945,Best Actor,http://www.nndb.com/people/651/000026573/,Going My Way,Bing Crosby,https://www.imdb.com/name/nm0001078/awards,https://www.imdb.com/title/tt0036872/,7.0,2.0
27,"Dublin, Ireland",10-Mar-1888,White,Christian,Unknown,1945,Best Supporting Actor,http://www.nndb.com/people/126/000063934/,Going My Way,Barry Fitzgerald,https://www.imdb.com/name/nm0280178/awards,https://www.imdb.com/title/tt0036872/,7.0,2.0
28,New York City,11-Oct-18,White,Jewish,Gay,1962,Best Director,http://www.nndb.com/people/281/000064089/,West Side Story,Jerome Robbins,https://www.imdb.com/name/nm0730385/,https://www.imdb.com/title/tt0055614/,8.0,2.5
29,"Winchester, In",10-Sep-14,White,Unknown,Straight,1961,Best Director,http://www.nndb.com/people/460/000032364/,West Side Story,Robert Wise,https://www.imdb.com/name/nm0936404/awards,https://www.imdb.com/title/tt0055614/,8.0,2.5
30,"Norwood, Oh",16-Sep-34,White,Unknown,Gay,1962,Best Supporting Actor,http://www.nndb.com/people/119/000063927/,West Side Story,George Chakiris,https://www.imdb.com/name/nm0001995/awards,https://www.imdb.com/title/tt0055614/,8.0,2.5
31,"Humacao, Puerto Rico",11-Dec-31,Hispanic,Unknown,Straight,1962,Best Supporting Actress,http://www.nndb.com/people/463/000023394/,West Side Story,Rita Moreno,https://www.imdb.com/name/nm0001549/,https://www.imdb.com/title/tt0055614/,8.0,2.5
32,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,Straight,1946,Best Director,http://www.nndb.com/people/982/000024910/,The Lost Weekend,Billy Wilder,https://www.imdb.com/name/nm0000697/awards,https://www.imdb.com/title/tt0037884/,8.0,1.5
33,"Neath, Wales",3-Jan-07,White,Unknown,Straight,1946,Best Actor,http://www.nndb.com/people/814/000042688/,The Lost Weekend,Ray Milland,https://www.imdb.com/name/nm0001537/awards,https://www.imdb.com/title/tt0037884/,8.0,1.5
34,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-1902,White,Unknown,Straight,1947,Best Director,http://www.nndb.com/people/463/000032367/,The Best Years of Our Lives,William Wyler,https://www.imdb.com/name/nm0943758/,https://www.imdb.com/title/tt0036868/,8.0,3.0
35,"Racine, Wi",31-Aug-1897,White,Unknown,Straight,1947,Best Actor,http://www.nndb.com/people/255/000043126/,The Best Years of Our Lives,Fredric March,https://www.imdb.com/name/nm0545298/awards,https://www.imdb.com/title/tt0036868/,8.0,3.0
36,"North Sydney, Nova Scotia, Canada",14-Jan-14,White,Unknown,Straight,1947,Best Supporting Actor,http://www.nndb.com/people/124/000063932/,The Best Years of Our Lives,Harold Russell,https://www.imdb.com/name/nm0751174/,https://www.imdb.com/title/tt0036868/,8.0,3.0
37,"Istanbul, Turkey",7-Sep-09,White,Unknown,Straight,1948,Best Director,http://www.nndb.com/people/537/000026459/,Gentleman's Agreement,Elia Kazan,https://www.imdb.com/name/nm0001415/,https://www.imdb.com/title/tt0039416/,7.0,2.0
38,New York City,29-Apr-17,White,Unknown,Straight,1948,Best Supporting Actress,http://www.nndb.com/people/084/000063892/,Gentleman's Agreement,Celeste Holm,https://www.imdb.com/name/nm0002141/,https://www.imdb.com/title/tt0039416/,7.0,2.0
39,"Nevada, Mo",5-Aug-06,White,Unknown,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston,https://www.imdb.com/name/nm0001379/awards,https://www.imdb.com/title/tt0040897/,8.0,2.0
40,"Nevada, Mo",5-Aug-06,White,Unknown,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston,https://www.imdb.com/name/nm0001379/awards,https://www.imdb.com/title/tt0040897/,8.0,2.0
41,"Toronto, Ontario, Canada",6-Apr-1884,White,Unknown,Straight,1949,Best Supporting Actor,http://www.nndb.com/people/122/000063930/,The Treasure of the Sierra Madre,Walter Huston,https://www.imdb.com/name/nm0404158/awards,https://www.imdb.com/title/tt0040897/,8.0,2.0
42,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,Straight,1950,Best Director,http://www.nndb.com/people/723/000032627/,A Letter to Three Wives,Joseph L. Mankiewicz,https://www.imdb.com/name/nm0000581/,https://www.imdb.com/title/tt0041587/,8.0,1.5
43,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,Straight,1951,Best Director,http://www.nndb.com/people/723/000032627/,All About Eve,Joseph L. Mankiewicz,https://www.imdb.com/name/nm0000581/,https://www.imdb.com/title/tt0042192/,8.0,2.5
44,"St. Petersburg, Russia",3-Jul-06,White,Unknown,Straight,1951,Best Supporting Actor,http://www.nndb.com/people/728/000043599/,All About Eve,George Sanders,https://www.imdb.com/name/nm0001695/awards,https://www.imdb.com/title/tt0042192/,8.0,2.5
45,"Oakland, Ca",18-Dec-04,White,Unknown,Straight,1952,Best Director,http://www.nndb.com/people/382/000044250/,A Place in the Sun,George Stevens,https://www.imdb.com/name/nm0828419/awards,https://www.imdb.com/title/tt0043924/,8.0,2.0
46,"Cape Elizabeth, Me",1-Feb-1894,White,Christian,Bisexual,1953,Best Director,http://www.nndb.com/people/458/000032362/,The Quiet Man,John Ford,https://www.imdb.com/name/nm0000406/awards,https://www.imdb.com/title/tt0045061/,8.0,2.0
47,"Vienna, Austria",29-Apr-07,White,Jewish,Straight,1954,Best Director,http://www.nndb.com/people/538/000032442/,From Here to Eternity,Fred Zinnemann,https://www.imdb.com/name/nm0003593/,https://www.imdb.com/title/tt0045793/,8.0,2.0
48,"Hoboken, Nj",12-Dec-15,White,Unknown,Straight,1954,Best Supporting Actor,http://www.nndb.com/people/300/000026222/,From Here to Eternity,Frank Sinatra,https://www.imdb.com/name/nm0000069/awards,https://www.imdb.com/title/tt0045793/,8.0,2.0
49,"Denison, Ia",27-Jan-21,White,Unknown,Straight,1954,Best Supporting Actress,http://www.nndb.com/people/702/000031609/,From Here to Eternity,Donna Reed,https://www.imdb.com/name/nm0001656/awards,https://www.imdb.com/title/tt0045793/,8.0,2.0
50,"Istanbul, Turkey",7-Sep-09,White,Unknown,Straight,1955,Best Director,http://www.nndb.com/people/537/000026459/,On the Waterfront,Elia Kazan,https://www.imdb.com/name/nm0001415/,https://www.imdb.com/title/tt0047296/,8.0,2.0
51,"Omaha, Ne",3-Apr-24,White,Deist,Bisexual,1955,Best Actor,http://www.nndb.com/people/721/000022655/,On the Waterfront,Marlon Brando,https://www.imdb.com/name/nm0000008/awards,https://www.imdb.com/title/tt0047296/,8.0,2.0
52,"Newark, Nj",4-Jul-24,White,Unknown,Straight,1955,Best Supporting Actress,http://www.nndb.com/people/980/000022914/,On the Waterfront,Eva Marie Saint,https://www.imdb.com/name/nm0001693/,https://www.imdb.com/title/tt0047296/,8.0,2.0
53,"Lawrence, Ks",30-Jan-20,White,Christian,Straight,1956,Best Director,http://www.nndb.com/people/384/000044252/,Marty,Delbert Mann,https://www.imdb.com/name/nm0542720/,https://www.imdb.com/title/tt0048356/,8.0,1.5
54,"Hamden, Ct",24-Jan-17,White,Unknown,Straight,1956,Best Actor,http://www.nndb.com/people/730/000022664/,Marty,Ernest Borgnine,https://www.imdb.com/name/nm0000308/awards,https://www.imdb.com/title/tt0048356/,8.0,1.5
55,"Oakland, Ca",18-Dec-04,White,Unknown,Straight,1957,Best Director,http://www.nndb.com/people/382/000044250/,Giant,George Stevens,https://www.imdb.com/name/nm0828419/awards,https://www.imdb.com/title/tt0049261/,8.0,3.5
56,"Croydon, Surrey, England",25-Mar-08,White,Unknown,Straight,1958,Best Director,http://www.nndb.com/people/462/000032366/,The Bridge on the River Kwai,David Lean,https://www.imdb.com/name/nm0000180/awards,https://www.imdb.com/title/tt0050212/,8.0,2.5
57,"London, England",2-Apr-14,White,Christian,Bisexual,1958,Best Actor,http://www.nndb.com/people/751/000023682/,The Bridge on the River Kwai,Alec Guinness,https://www.imdb.com/name/nm0000027/awards,https://www.imdb.com/title/tt0050212/,8.0,2.5
58,"Chicago, Il",28-Feb-1903,White,Unknown,Bisexual,1959,Best Director,http://www.nndb.com/people/825/000032729/,Gigi,Vincente Minnelli,https://www.imdb.com/name/nm0591486/awards,https://www.imdb.com/title/tt0051658/,7.0,2.0
59,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-1902,White,Unknown,Straight,1960,Best Director,http://www.nndb.com/people/463/000032367/,Ben-Hur,William Wyler,https://www.imdb.com/name/nm0943758/,https://www.imdb.com/title/tt0052618/,8.0,3.5
60,"Evanston, Il",4-Oct-23,White,Christian,Straight,1960,Best Actor,http://www.nndb.com/people/961/000022895/,Ben-hur,Charlton Heston,https://www.imdb.com/name/nm0000032/awards,https://www.imdb.com/title/tt0052618/,8.0,3.5
61,"Marian Glas, Anglesey, Wales",30-May-12,White,Unknown,Unknown,1960,Best Supporting Actor,http://www.nndb.com/people/120/000063928/,Ben-Hur,Hugh Griffith,https://www.imdb.com/name/nm0341518/,https://www.imdb.com/title/tt0052618/,8.0,3.5
62,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,Straight,1961,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder,https://www.imdb.com/name/nm0000697/awards,https://www.imdb.com/title/tt0053604/,8.0,2.0
63,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,Straight,1961,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder,https://www.imdb.com/name/nm0000697/awards,https://www.imdb.com/title/tt0053604/,8.0,2.0
64,"Croydon, Surrey, England",25-Mar-08,White,Unknown,Straight,1963,Best Director,http://www.nndb.com/people/462/000032366/,Lawrence of Arabia,David Lean,https://www.imdb.com/name/nm0000180/awards,https://www.imdb.com/title/tt0056172/,8.0,4.0
65,"Shipley, Yorkshire, England",5-Jun-28,White,Unknown,Bisexual,1964,Best Director,http://www.nndb.com/people/249/000043120/,Tom Jones,Tony Richardson,https://www.imdb.com/name/nm0724798/,https://www.imdb.com/title/tt0057590/,6.0,2.0
66,New York City,7-Jul-1899,White,Unknown,Gay,1965,Best Director,http://www.nndb.com/people/373/000041250/,My Fair Lady,George Cukor,https://www.imdb.com/name/nm0002030/awards,https://www.imdb.com/title/tt0058385/,8.0,3.0
67,"Huyton, Lancashire, England",5-Mar-08,White,Unknown,Straight,1965,Best Actor,http://www.nndb.com/people/132/000043003/,My Fair Lady,Rex Harrison,https://www.imdb.com/name/nm0001322/awards,https://www.imdb.com/title/tt0058385/,8.0,3.0
68,"Winchester, In",10-Sep-14,White,Unknown,Straight,1966,Best Director,http://www.nndb.com/people/460/000032364/,The Sound of Music,Robert Wise,https://www.imdb.com/name/nm0936404/awards,https://www.imdb.com/title/tt0059742/,8.0,3.0
69,"Vienna, Austria",29-Apr-07,White,Jewish,Straight,1967,Best Director,http://www.nndb.com/people/538/000032442/,A Man for All Seasons,Fred Zinnemann,https://www.imdb.com/name/nm0003593/,https://www.imdb.com/title/tt0060665/,8.0,2.0
70,"Hurstpierpoint, West Sussex, England",21-Jan-22,White,Unknown,Straight,1967,Best Actor,http://www.nndb.com/people/950/000033851/,A Man For All Seasons,Paul Scofield,https://www.imdb.com/name/nm0006890/awards,https://www.imdb.com/title/tt0060665/,8.0,2.0
71,"Berlin, Germany",6-Nov-31,White,Jewish,Straight,1968,Best Director,http://www.nndb.com/people/455/000023386/,The Graduate,Mike Nichols,https://www.imdb.com/name/nm0001566/awards,https://www.imdb.com/title/tt0061722/,8.0,2.0
72,"St. Louis Park, Mn",29-Nov-54,White,Jewish,Straight,2008,Best Director,http://www.nndb.com/people/399/000025324/,No Country for Old Men,Joel Coen,https://www.imdb.com/name/nm0001054/awards,https://www.imdb.com/title/tt0477348/,8.0,2.0
73,"St. Louis Park, Mn",21-Sep-57,White,Jewish,Straight,2008,Best Director,http://www.nndb.com/people/400/000025325/,No Country for Old Men,Ethan Coen,https://www.imdb.com/name/nm0001053/awards,https://www.imdb.com/title/tt0477348/,8.0,2.0
74,"Las Palmas De Gran Canaria, Canary Islands",1-Mar-69,Hispanic,Unknown,Straight,2008,Best Supporting Actor,http://www.nndb.com/people/733/000109406/,No Country for Old Men,Javier Bardem,https://www.imdb.com/name/nm0000849/awards,https://www.imdb.com/title/tt0477348/,8.0,2.0
75,"London, England",30-Dec-06,White,Unknown,Straight,1969,Best Director,http://www.nndb.com/people/290/000064098/,Oliver!,Carol Reed,https://www.imdb.com/name/nm0715346/awards,https://www.imdb.com/title/tt0063385/,7.0,2.5
76,"London, England",16-Feb-26,White,Unknown,Gay,1969,Best Director,http://www.nndb.com/people/771/000032675/,Midnight Cowboy,John Schlesinger,https://www.imdb.com/name/nm0772259/,https://www.imdb.com/title/tt0064665/,8.0,2.0
77,"Tokyo, Japan",30-May-20,White,Unknown,Straight,1970,Best Director,http://www.nndb.com/people/509/000032413/,Patton,Franklin J. Schaffner,https://www.imdb.com/name/nm0769874/,https://www.imdb.com/title/tt0066206/,8.0,3.0
78,"Wise, Va",18-Oct-27,White,Unknown,Straight,1971,Best Actor,http://www.nndb.com/people/025/000022956/,Patton,George C. Scott,https://www.imdb.com/name/nm0001715/,https://www.imdb.com/title/tt0066206/,8.0,3.0
79,"Chicago, Il",29-Aug-35,White,Jewish,Straight,1972,Best Director,http://www.nndb.com/people/112/000024040/,The French Connection,William Friedkin,https://www.imdb.com/name/nm0001243/awards,https://www.imdb.com/title/tt0067116/,8.0,1.5
80,"San Bernardino, Ca",30-Jan-30,White,Unknown,Straight,1972,Best Actor,http://www.nndb.com/people/878/000022812/,The French Connection,Gene Hackman,https://www.imdb.com/name/nm0000432/awards,https://www.imdb.com/title/tt0067116/,8.0,1.5
81,"Chicago, Il",23-Jun-27,White,Unknown,Straight,1973,Best Director,http://www.nndb.com/people/159/000032063/,Cabaret,Bob Fosse,https://www.imdb.com/name/nm0002080/,https://www.imdb.com/title/tt0068327/,8.0,2.0
82,"Cleveland, Oh",11-Apr-32,White,Jewish,Gay,1973,Best Supporting Actor,http://www.nndb.com/people/853/000048709/,Cabaret,Joel Grey,https://www.imdb.com/name/nm0001297/awards,https://www.imdb.com/title/tt0068327/,8.0,2.0
83,"Los Angeles, Ca",12-Mar-46,White,Unknown,Unknown,1973,Best Actress,http://www.nndb.com/people/724/000024652/,Cabaret,Liza Minnelli,https://www.imdb.com/name/nm0591485/,https://www.imdb.com/title/tt0068327/,8.0,2.0
84,"Minneapolis, Mn",20-Dec-21,White,Unknown,Straight,1973,Best Director,http://www.nndb.com/people/783/000032687/,The Sting,George Roy Hill,https://www.imdb.com/name/nm0001351/,https://www.imdb.com/title/tt0070735/,8.0,2.0
85,"Detroit, Mi",7-Apr-39,White,Unknown,Straight,1975,Best Director,http://www.nndb.com/people/866/000022800/,The Godfather Part II,Francis Ford Coppola,https://www.imdb.com/name/nm0000338/awards,https://www.imdb.com/title/tt0071562/,9.0,3.5
86,New York City,17-Aug-43,White,Christian,Straight,1975,Best Supporting Actor,http://www.nndb.com/people/765/000023696/,The Godfather Part II,Robert De Niro,https://www.imdb.com/name/nm0000134/awards,https://www.imdb.com/title/tt0071562/,9.0,3.5
87,"CÌÁslav, Czechoslovakia",18-Feb-32,White,Unknown,Straight,1976,Best Director,http://www.nndb.com/people/622/000023553/,One Flew over the Cuckoo's Nest,Milos Forman,https://www.imdb.com/name/nm0001232/,https://www.imdb.com/title/tt0073486/,9.0,2.0
88,New York City,22-Apr-37,White,Atheist,Straight,1976,Best Actor,http://www.nndb.com/people/722/000022656/,One Flew Over the Cuckoo's Nest,Jack Nicholson,https://www.imdb.com/name/nm0000197/awards,https://www.imdb.com/title/tt0073486/,9.0,2.0
89,"Birmingham, Al",22-Jul-34,White,Unknown,Straight,1976,Best Actress,http://www.nndb.com/people/798/000063609/,One Flew Over the Cuckoo's Nest,Louise Fletcher,https://www.imdb.com/name/nm0001221/awards,https://www.imdb.com/title/tt0073486/,9.0,2.0
90,"Oak Park, Il",21-Dec-35,White,Unknown,Straight,1976,Best Director,http://www.nndb.com/people/679/000032583/,Rocky,John G. Avildsen,https://www.imdb.com/name/nm0000814/,https://www.imdb.com/title/tt0073629/,7.0,1.5
91,"Brooklyn, Ny",1-Dec-35,White,Jewish,Straight,1978,Best Director,http://www.nndb.com/people/501/000022435/,Annie Hall,Woody Allen,https://www.imdb.com/name/nm0000095/awards,https://www.imdb.com/title/tt0075686/,8.0,1.5
92,"Los Angeles, Ca",5-Jan-46,White,Atheist,Straight,1978,Best Actress,http://www.nndb.com/people/879/000022813/,Annie Hall,Diane Keaton,https://www.imdb.com/name/nm0000473/awards,https://www.imdb.com/title/tt0075686/,8.0,1.5
93,New York City,3-Feb-39,White,Unknown,Straight,1979,Best Director,http://www.nndb.com/people/810/000043681/,The Deer Hunter,Michael Cimino,https://www.imdb.com/name/nm0001047/awards,https://www.imdb.com/title/tt0077416/,8.0,3.0
94,New York City,3-Feb-39,White,Unknown,Straight,1979,Best Director,http://www.nndb.com/people/810/000043681/,The Deer Hunter,Michael Cimino,https://www.imdb.com/name/nm0001047/awards,https://www.imdb.com/title/tt0077416/,8.0,3.0
95,"Astoria, Ny",31-Mar-43,White,Unknown,Straight,1979,Best Supporting Actor,http://www.nndb.com/people/618/000022552/,The Deer Hunter,Christopher Walken,https://www.imdb.com/name/nm0000686/awards,https://www.imdb.com/title/tt0077416/,8.0,3.0
96,"Waxahachie, Tx",29-Sep-32,White,Unknown,Straight,1980,Best Director,http://www.nndb.com/people/267/000064075/,Kramer vs. Kramer,Robert Benton,https://www.imdb.com/name/nm0000914/,https://www.imdb.com/title/tt0079417/,8.0,2.0
97,"Los Angeles, Ca",8-Aug-37,White,Jewish,Straight,1980,Best Actor,http://www.nndb.com/people/882/000022816/,Kramer vs. Kramer,Dustin Hoffman,https://www.imdb.com/name/nm0000163/awards,https://www.imdb.com/title/tt0079417/,8.0,2.0
98,"Summit, Nj",22-Jun-49,White,Unknown,Straight,1980,Best Supporting Actress,http://www.nndb.com/people/001/000024926/,Kramer vs. Kramer,Meryl Streep,https://www.imdb.com/name/nm0000658/awards,https://www.imdb.com/title/tt0079417/,8.0,2.0
99,"Santa Monica, Ca",18-Aug-1936 [1],White,Unknown,Straight,1980,Best Director,http://www.nndb.com/people/795/000022729/,Ordinary People,Robert Redford,https://www.imdb.com/name/nm0000602/awards,https://www.imdb.com/title/tt0081283/,8.0,2.0
100,"Malibu, Ca",16-Aug-60,White,Unknown,Straight,1981,Best Supporting Actor,http://www.nndb.com/people/378/000024306/,Oridnary People,Timothy Hutton,https://www.imdb.com/name/nm0000459/awards,https://www.imdb.com/title/tt0081283/,8.0,2.0
101,"Richmond, Va",30-Mar-37,White,Christian,Straight,1981,Best Director,http://www.nndb.com/people/719/000022653/,Reds,Warren Beatty,https://www.imdb.com/name/nm0000886/awards,https://www.imdb.com/title/tt0082979/,7.0,3.0
102,"Troy, Ny",21-Jun-25,White,Christian,Straight,1982,Best Supporting Actress,http://www.nndb.com/people/376/000032280/,Reds,Maureen Stapleton,https://www.imdb.com/name/nm0822972/,https://www.imdb.com/title/tt0082979/,7.0,3.0
103,"Cambridge, England",29-Aug-23,White,Unknown,Straight,1982,Best Director,http://www.nndb.com/people/750/000023681/,Gandhi,Richard Attenborough,https://www.imdb.com/name/nm0000277/awards,https://www.imdb.com/title/tt0083987/,8.0,3.0
104,"Scarborough, Yorkshire, England",31-Dec-43,Multiracial,Christian,Straight,1983,Best Actor,http://www.nndb.com/people/519/000024447/,Gandhi,Ben Kingsley,https://www.imdb.com/name/nm0001426/awards,https://www.imdb.com/title/tt0083987/,8.0,3.0
105,"North Bergen, Nj",9-May-40,White,Unknown,Straight,1983,Best Director,http://www.nndb.com/people/209/000024137/,Terms of Endearment,James L. Brooks,https://www.imdb.com/name/nm0000985/,https://www.imdb.com/title/tt0086425/,7.0,2.0
106,New York City,22-Apr-37,White,Atheist,Straight,1984,Best Supporting Actor,http://www.nndb.com/people/722/000022656/,Terms of Endearment,Jack Nicholson,https://www.imdb.com/name/nm0000197/awards,https://www.imdb.com/title/tt0086425/,7.0,2.0
107,"Richmond, Va",24-Apr-34,White,Christian,Straight,1984,Best Actress,http://www.nndb.com/people/799/000023730/,Terms of Endearment,Shirley MacLaine,https://www.imdb.com/name/nm0000511/awards,https://www.imdb.com/title/tt0086425/,7.0,2.0
108,"CÌÁslav, Czechoslovakia",18-Feb-32,White,Unknown,Straight,1985,Best Director,http://www.nndb.com/people/622/000023553/,Amadeus,Milos Forman,https://www.imdb.com/name/nm0001232/,https://www.imdb.com/title/tt0086879/,8.0,2.5
109,"Pittsburgh, Pa",24-Oct-39,Middle Eastern,Unknown,Straight,1985,Best Actor,http://www.nndb.com/people/123/000024051/,Amadeus,F. Murray Abraham,https://www.imdb.com/name/nm0000719/,https://www.imdb.com/title/tt0086879/,8.0,2.5
110,"Lafayette, In",1-Jul-34,White,Jewish,Straight,1986,Best Director,http://www.nndb.com/people/772/000023703/,Out of Africa,Sydney Pollack,https://www.imdb.com/name/nm0001628/awards,https://www.imdb.com/title/tt0089755/,7.0,2.5
