Person;Date of birth;Birthplace;Country of birth;Award;Edition;Movie;Year of award;Bio NNDB;Bio IMDb;Bio Wikipedia
Thelma Schoonmaker;1940-01-03;Algeria;Algeria;Best Film Editing;53rd Academy Awards;Raging Bull;1980;;https://www.imdb.com/name/nm0774817;https://en.wikipedia.org/wiki/Thelma_Schoonmaker
Emmanuel Lubezki;1964-11-30;Mexico City;Mexico;Best Cinematography;86th Academy Awards;Gravity;2013;;https://www.imdb.com/name/nm0523881;https://en.wikipedia.org/wiki/Emmanuel_Lubezki
Luise Rainer;1910-01-12;Vienna;Austria;Best Actress;9th Academy Awards;The Great Ziegfeld;1936;https://www.nndb.com/people/796/000030706;https://www.imdb.com/name/nm0707023;https://en.wikipedia.org/wiki/Luise_Rainer
John Barry;1933-11-03;York;United Kingdom;Best Original Score;39th Academy Awards;Born Free;1967;https://www.nndb.com/people/609/000031516;https://www.imdb.com/name/nm0000290;https://en.wikipedia.org/wiki/John_Barry_(composer)
Rami Malek;1981-05-12;Los Angeles;United States of America;Best Actor;91st Academy Awards;Bohemian Rhapsody;2019;https://www.nndb.com/people/575/000350522;https://www.imdb.com/name/nm1785339;https://en.wikipedia.org/wiki/Rami_Malek
Dean Jagger;1903-11-07;Columbus Grove;United States of America;Best Supporting Actor;22nd Academy Awards;Twelve O'Clock High;1949;https://www.nndb.com/people/121/000063929;https://www.imdb.com/name/nm0415591;https://en.wikipedia.org/wiki/Dean_Jagger
Eddie Redmayne;1982-01-06;London;United Kingdom;Best Actor;87th Academy Awards;The Theory of Everything;2014;https://www.nndb.com/people/467/000269657;https://www.imdb.com/name/nm1519666;https://en.wikipedia.org/wiki/Eddie_Redmayne
Marlon Brando;1924-04-03;Omaha;United States of America;Best Actor;27th Academy Awards;On the Waterfront;1954;https://www.nndb.com/people/721/000022655;https://www.imdb.com/name/nm0000008;https://en.wikipedia.org/wiki/Marlon_Brando
Kathryn Bigelow;1951-11-27;San Carlos;United States of America;Best Picture;82nd Academy Awards;The Hurt Locker;2010;https://www.nndb.com/people/837/000079600;https://www.imdb.com/name/nm0000941;https://en.wikipedia.org/wiki/Kathryn_Bigelow
Kathryn Bigelow;1951-11-27;San Carlos;United States of America;Best Director;82nd Academy Awards;The Hurt Locker;2010;https://www.nndb.com/people/837/000079600;https://www.imdb.com/name/nm0000941;https://en.wikipedia.org/wiki/Kathryn_Bigelow
Walter Huston;1883-04-05;Toronto;Canada;Best Supporting Actor;21st Academy Awards;The Treasure of the Sierra Madre;1948;https://www.nndb.com/people/122/000063930;https://www.imdb.com/name/nm0404158;https://en.wikipedia.org/wiki/Walter_Huston
Walter Huston;1883-04-06;Toronto;Canada;Best Supporting Actor;21st Academy Awards;The Treasure of the Sierra Madre;1948;https://www.nndb.com/people/122/000063930;https://www.imdb.com/name/nm0404158;https://en.wikipedia.org/wiki/Walter_Huston
Walter Huston;1884-04-06;Toronto;Canada;Best Supporting Actor;21st Academy Awards;The Treasure of the Sierra Madre;1948;https://www.nndb.com/people/122/000063930;https://www.imdb.com/name/nm0404158;https://en.wikipedia.org/wiki/Walter_Huston
Daniel Day-Lewis;1957-04-29;London;United Kingdom;Best Actor;85th Academy Awards;Lincoln;2013;https://www.nndb.com/people/788/000022722;https://www.imdb.com/name/nm0000358;https://en.wikipedia.org/wiki/Daniel_Day-Lewis
Vivien Leigh;1913-11-05;Darjeeling;India;Best Actress;12th Academy Awards;Gone with the Wind;1939;https://www.nndb.com/people/470/000022404;https://www.imdb.com/name/nm0000046;https://en.wikipedia.org/wiki/Vivien_Leigh
Elizabeth Taylor;1932-02-27;Hampstead Garden Suburb;United Kingdom;Best Actress;33rd Academy Awards;Butterfield 8;1960;https://www.nndb.com/people/624/000023555;https://www.imdb.com/name/nm0000072;https://en.wikipedia.org/wiki/Elizabeth_Taylor
Brad Pitt;1963-12-18;Shawnee;United States of America;Best Supporting Actor;92nd Academy Awards;Once Upon a Time in Hollywood;2020;https://www.nndb.com/people/688/000025613;https://www.imdb.com/name/nm0000093;https://en.wikipedia.org/wiki/Brad_Pitt
Pedro Almodóvar;1951-09-25;Calzada de Calatrava;Spain;Best Writing, Original Screenplay;75th Academy Awards;Talk to Her;2002;https://www.nndb.com/people/145/000025070;https://www.imdb.com/name/nm0000264;https://en.wikipedia.org/wiki/Pedro_Almod%C3%B3var
David Lean;1908-03-25;Croydon;United Kingdom;Best Director;30th Academy Awards;The Bridge on the River Kwai;1957;https://www.nndb.com/people/462/000032366;https://www.imdb.com/name/nm0000180;https://en.wikipedia.org/wiki/David_Lean
Hein Heckroth;1901-04-14;Gießen;Germany;Best Art Direction, Color;21st Academy Awards;The Red Shoes;1949;;https://www.imdb.com/name/nm0373081;https://en.wikipedia.org/wiki/Hein_Heckroth
Walter Murch;1943-07-12;New York City;United States of America;Best Sound Mixing;69th Academy Awards;The English Patient;1996;;https://www.imdb.com/name/nm0004555;https://en.wikipedia.org/wiki/Walter_Murch
Tommy Lee Jones;1946-09-15;San Saba;United States of America;Best Supporting Actor;66th Academy Awards;The Fugitive;1993;https://www.nndb.com/people/530/000022464;https://www.imdb.com/name/nm0000169;https://en.wikipedia.org/wiki/Tommy_Lee_Jones
Jane Fonda;1937-12-21;New York City;United States of America;Best Actress;44th Academy Awards;Klute;1971;https://www.nndb.com/people/637/000022571;https://www.imdb.com/name/nm0000404;https://en.wikipedia.org/wiki/Jane_Fonda
Martin Scorsese;1942-11-17;Queens;United States of America;Best Director;79th Academy Awards;The Departed;2006;https://www.nndb.com/people/678/000022612;https://www.imdb.com/name/nm0000217;https://en.wikipedia.org/wiki/Martin_Scorsese
Jodie Foster;1962-11-19;Los Angeles;United States of America;Best Actress;61st Academy Awards;The Accused;1988;https://www.nndb.com/people/756/000023687;https://www.imdb.com/name/nm0000149;https://en.wikipedia.org/wiki/Jodie_Foster
Sally Field;1946-11-06;Pasadena;United States of America;Best Actress;52nd Academy Awards;Norma Rae;1979;https://www.nndb.com/people/897/000022831;https://www.imdb.com/name/nm0000398;https://en.wikipedia.org/wiki/Sally_Field
Reese Witherspoon;1976-03-22;Baton Rouge;United States of America;Best Actress;78th Academy Awards;Walk the Line;2005;https://www.nndb.com/people/813/000022747;https://www.imdb.com/name/nm0000702;https://en.wikipedia.org/wiki/Reese_Witherspoon
Marisa Tomei;1964-12-04;Brooklyn;United States of America;Best Supporting Actress;65th Academy Awards;My Cousin Vinny;1992;https://www.nndb.com/people/985/000025910;https://www.imdb.com/name/nm0000673;https://en.wikipedia.org/wiki/Marisa_Tomei
John Gielgud;1904-04-14;South Kensington;United Kingdom;Best Supporting Actor;54th Academy Awards;Arthur;1981;https://www.nndb.com/people/589/000033490;https://www.imdb.com/name/nm0000024;https://en.wikipedia.org/wiki/John_Gielgud
Paul Francis Webster;1907-12-20;New York City;United States of America;Best Original Song;38th Academy Awards;The Shadow of Your Smile;1966;https://www.nndb.com/people/544/000205926;https://www.imdb.com/name/nm0916990;https://en.wikipedia.org/wiki/Paul_Francis_Webster
Olivia Colman;1974-01-30;Norwich;United Kingdom;Best Actress;91st Academy Awards;The Favourite;2019;https://www.nndb.com/people/884/000353822;https://www.imdb.com/name/nm1469236;https://en.wikipedia.org/wiki/Olivia_Colman
Katharine Hepburn;1907-05-12;Hartford;United States of America;Best Actress;54th Academy Awards;On Golden Pond;1981;https://www.nndb.com/people/775/000023706;https://www.imdb.com/name/nm0000031;https://en.wikipedia.org/wiki/Katharine_Hepburn
Francis Ford Coppola;1939-04-07;Detroit;United States of America;Best Writing, Original Screenplay;43rd Academy Awards;Patton;1970;https://www.nndb.com/people/866/000022800;https://www.imdb.com/name/nm0000338;https://en.wikipedia.org/wiki/Francis_Ford_Coppola
Francis Ford Coppola;1939-04-07;Detroit;United States of America;Best Director;47th Academy Awards;The Godfather Part II;1974;https://www.nndb.com/people/866/000022800;https://www.imdb.com/name/nm0000338;https://en.wikipedia.org/wiki/Francis_Ford_Coppola
Gustavo Santaolalla;1951-08-19;El Palomar, Buenos Aires;Argentina;Best Original Score;78th Academy Awards;Brokeback Mountain;2005;;https://www.imdb.com/name/nm0763395;https://en.wikipedia.org/wiki/Gustavo_Santaolalla
Mark Rylance;1960-01-18;Ashford;United Kingdom;Best Supporting Actor;88th Academy Awards;Bridge of Spies;2015;;https://www.imdb.com/name/nm0753314;https://en.wikipedia.org/wiki/Mark_Rylance
Guillermo del Toro;1964-10-09;Guadalajara;Mexico;Best Director;90th Academy Awards;The Shape of Water;2018;https://www.nndb.com/people/569/000044437;https://www.imdb.com/name/nm0868219;https://en.wikipedia.org/wiki/Guillermo_del_Toro
Tatum O'Neal;1963-11-05;Los Angeles;United States of America;Best Supporting Actress;46th Academy Awards;Paper Moon;1973;https://www.nndb.com/people/104/000024032;https://www.imdb.com/name/nm0001575;https://en.wikipedia.org/wiki/Tatum_O%27Neal
Teresa Wright;1918-10-27;Harlem;United States of America;Best Supporting Actress;15th Academy Awards;Mrs. Miniver;1943;https://www.nndb.com/people/580/000045445;https://www.imdb.com/name/nm0942863;https://en.wikipedia.org/wiki/Teresa_Wright
Emil Jannings;1884-07-23;Rorschach;Switzerland;Best Actor;1st Academy Awards;The Last Command;1929;https://www.nndb.com/people/738/000063549;https://www.imdb.com/name/nm0417837;https://en.wikipedia.org/wiki/Emil_Jannings
Tom Hanks;1956-07-09;Concord;United States of America;Best Actor;66th Academy Awards;Philadelphia;1994;https://www.nndb.com/people/687/000022621;https://www.imdb.com/name/nm0000158;https://en.wikipedia.org/wiki/Tom_Hanks
Gary Cooper;1901-05-07;Helena;United States of America;Best Actor;14th Academy Awards;Sergeant York;1941;https://www.nndb.com/people/740/000031647;https://www.imdb.com/name/nm0000011;https://en.wikipedia.org/wiki/Gary_Cooper
Karl Malden;1912-03-22;Chicago;United States of America;Best Supporting Actor;24th Academy Awards;A Streetcar Named Desire;1951;https://www.nndb.com/people/553/000022487;https://www.imdb.com/name/nm0001500;https://en.wikipedia.org/wiki/Karl_Malden
Ben Hecht;1894-02-28;New York City;United States of America;Best Story;1st Academy Awards;Underworld;1929;https://www.nndb.com/people/179/000107855;https://www.imdb.com/name/nm0372942;https://en.wikipedia.org/wiki/Ben_Hecht
Peter Jackson;1961-10-31;Wellington;New Zealand;Best Picture;76th Academy Awards;The Lord of the Rings: The Return of the King;2003;https://www.nndb.com/people/848/000025773;https://www.imdb.com/name/nm0001392;https://en.wikipedia.org/wiki/Peter_Jackson
Timothy Hutton;1960-08-16;Malibu;United States of America;Best Supporting Actor;53rd Academy Awards;Ordinary People;1980;https://www.nndb.com/people/378/000024306;https://www.imdb.com/name/nm0000459;https://en.wikipedia.org/wiki/Timothy_Hutton
Joel Grey;1932-04-11;Cleveland;United States of America;Best Supporting Actor;45th Academy Awards;Cabaret;1972;https://www.nndb.com/people/853/000048709;https://www.imdb.com/name/nm0001297;https://en.wikipedia.org/wiki/Joel_Grey
Thomas Mitchell;1892-07-11;Elizabeth;United States of America;Best Supporting Actor;12th Academy Awards;Stagecoach;1940;https://www.nndb.com/people/116/000063924;https://www.imdb.com/name/nm0593775;https://en.wikipedia.org/wiki/Thomas_Mitchell_(actor)
Ed Begley;1901-03-25;Hartford;United States of America;Best Supporting Actor;35th Academy Awards;Sweet Bird of Youth;1962;https://www.nndb.com/people/915/000043786;https://www.imdb.com/name/nm0003225;https://en.wikipedia.org/wiki/Ed_Begley
Vilmos Zsigmond;1930-06-16;Szeged;Hungary;Best Cinematography;50th Academy Awards;Close Encounters of the Third Kind;1978;;https://www.imdb.com/name/nm0005936;https://en.wikipedia.org/wiki/Vilmos_Zsigmond
Emmanuel Lubezki;1964-11-30;Mexico City;Mexico;Best Cinematography;88th Academy Awards;The Revenant;2015;;https://www.imdb.com/name/nm0523881;https://en.wikipedia.org/wiki/Emmanuel_Lubezki
Juliette Binoche;1964-03-09;Paris;France;Best Supporting Actress;69th Academy Awards;The English Patient;1996;https://www.nndb.com/people/970/000025895;https://www.imdb.com/name/nm0000300;https://en.wikipedia.org/wiki/Juliette_Binoche
Elmer Bernstein;1922-04-04;New York City;United States of America;Best Original Score;40th Academy Awards;Thoroughly Modern Millie;1967;https://www.nndb.com/people/893/000022827;https://www.imdb.com/name/nm0000930;https://en.wikipedia.org/wiki/Elmer_Bernstein
Tony Bill;1940-08-23;San Diego;United States of America;Best Picture;46th Academy Awards;The Sting;1974;https://www.nndb.com/people/222/000024150;https://www.imdb.com/name/nm0082300;https://en.wikipedia.org/wiki/Tony_Bill
Alejandro González Iñárritu;1963-08-15;Mexico City;Mexico;Best Director;87th Academy Awards;Birdman;2015;;https://www.imdb.com/name/nm0327944;https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu
John Ford;1894-02-01;Cape Elizabeth;United States of America;Best Director;25th Academy Awards;The Quiet Man;1952;https://www.nndb.com/people/458/000032362;https://www.imdb.com/name/nm0000406;https://en.wikipedia.org/wiki/John_Ford
Michael Curtiz;1886-12-24;Budapest;Hungary;Best Director;16th Academy Awards;Casablanca;1943;https://www.nndb.com/people/676/000032580;https://www.imdb.com/name/nm0002031;https://en.wikipedia.org/wiki/Michael_Curtiz
Sydney Pollack;1934-07-01;New York City;United States of America;Best Director;58th Academy Awards;Out of Africa;1986;https://www.nndb.com/people/772/000023703;https://www.imdb.com/name/nm0001628;https://en.wikipedia.org/wiki/Sydney_Pollack
Roman Polanski;1933-08-18;Paris;France;Best Director;75th Academy Awards;The Pianist;2002;https://www.nndb.com/people/541/000023472;https://www.imdb.com/name/nm0000591;https://en.wikipedia.org/wiki/Roman_Polanski
Bernardo Bertolucci;1941-03-16;Parma;Italy;Best Writing, Adapted Screenplay;60th Academy Awards;The Last Emperor;1987;https://www.nndb.com/people/268/000024196;https://www.imdb.com/name/nm0000934;https://en.wikipedia.org/wiki/Bernardo_Bertolucci
Hayao Miyazaki;1941-01-05;Tokyo;Japan;Best Animated Feature;75th Academy Awards;Spirited Away;2002;https://www.nndb.com/people/940/000059763;https://www.imdb.com/name/nm0594503;https://en.wikipedia.org/wiki/Hayao_Miyazaki
Charles Guggenheim;1924-03-31;Cincinnati;United States of America;Best Documentary (Short Subject);62nd Academy Awards;The Johnstown Flood;1989;;https://www.imdb.com/name/nm0346549;https://en.wikipedia.org/wiki/Charles_Guggenheim
Robert Duvall;1931-01-05;San Diego;United States of America;Best Actor;56th Academy Awards;Tender Mercies;1984;https://www.nndb.com/people/008/000022939;https://www.imdb.com/name/nm0000380;https://en.wikipedia.org/wiki/Robert_Duvall
Maggie Smith;1934-12-28;Ilford;United Kingdom;Best Actress;42nd Academy Awards;The Prime of Miss Jean Brodie;1970;https://www.nndb.com/people/260/000030170;https://www.imdb.com/name/nm0001749;https://en.wikipedia.org/wiki/Maggie_Smith
Glenda Jackson;1936-05-09;Birkenhead;United Kingdom;Best Actress;43rd Academy Awards;Women in Love;1970;https://www.nndb.com/people/799/000063610;https://www.imdb.com/name/nm0413559;https://en.wikipedia.org/wiki/Glenda_Jackson
Al Pacino;1940-04-25;Manhattan;United States of America;Best Actor;65th Academy Awards;Scent of a Woman;1993;https://www.nndb.com/people/880/000022814;https://www.imdb.com/name/nm0000199;https://en.wikipedia.org/wiki/Al_Pacino
Jack Nicholson;1937-04-22;Neptune City;United States of America;Best Actor;48th Academy Awards;One Flew Over the Cuckoo's Nest;1976;https://www.nndb.com/people/722/000022656;https://www.imdb.com/name/nm0000197;https://en.wikipedia.org/wiki/Jack_Nicholson
Audrey Hepburn;1929-05-04;Ixelles;Belgium;Best Actress;26th Academy Awards;Roman Holiday;1953;https://www.nndb.com/people/933/000026855;https://www.imdb.com/name/nm0000030;https://en.wikipedia.org/wiki/Audrey_Hepburn
Sean Penn;1960-08-17;Santa Monica;United States of America;Best Actor;76th Academy Awards;Mystic River;2003;https://www.nndb.com/people/331/000025256;https://www.imdb.com/name/nm0000576;https://en.wikipedia.org/wiki/Sean_Penn
Frank Sinatra;1915-12-12;Hoboken;United States of America;Best Supporting Actor;26th Academy Awards;From Here to Eternity;1953;https://www.nndb.com/people/300/000026222;https://www.imdb.com/name/nm0000069;https://en.wikipedia.org/wiki/Frank_Sinatra
Paul Francis Webster;1907-12-20;New York City;United States of America;Best Original Song;26th Academy Awards;Secret Love;1954;https://www.nndb.com/people/544/000205926;https://www.imdb.com/name/nm0916990;https://en.wikipedia.org/wiki/Paul_Francis_Webster
Dianne Wiest;1948-03-28;Kansas City;United States of America;Best Supporting Actress;67th Academy Awards;Bullets Over Broadway;1994;https://www.nndb.com/people/894/000024822;https://www.imdb.com/name/nm0001848;https://en.wikipedia.org/wiki/Dianne_Wiest
Ernest Borgnine;1917-01-24;Hamden;United States of America;Best Actor;28th Academy Awards;Marty;1955;https://www.nndb.com/people/730/000022664;https://www.imdb.com/name/nm0000308;https://en.wikipedia.org/wiki/Ernest_Borgnine
Quentin Tarantino;1963-03-27;Knoxville;United States of America;Best Writing, Original Screenplay;85th Academy Awards;Django Unchained;2012;https://www.nndb.com/people/664/000023595;https://www.imdb.com/name/nm0000233;https://en.wikipedia.org/wiki/Quentin_Tarantino
Christoph Waltz;1956-10-04;Vienna;Austria;Best Supporting Actor;85th Academy Awards;Django Unchained;2012;https://www.nndb.com/people/455/000213813;https://www.imdb.com/name/nm0910607;https://en.wikipedia.org/wiki/Christoph_Waltz
Charlton Heston;1924-10-24;Evanston;United States of America;Best Actor;32nd Academy Awards;Ben-Hur;1959;https://www.nndb.com/people/961/000022895;https://www.imdb.com/name/nm0000032;https://en.wikipedia.org/wiki/Charlton_Heston
Meryl Streep;1949-06-22;Summit;United States of America;Best Actress;84th Academy Awards;The Iron Lady;2011;https://www.nndb.com/people/001/000024926;https://www.imdb.com/name/nm0000658;https://en.wikipedia.org/wiki/Meryl_Streep
John Lennon;1940-10-09;Liverpool;United Kingdom;Best Original Song Score;43rd Academy Awards;Let It Be;1971;https://www.nndb.com/people/294/000026216;https://www.imdb.com/name/nm0006168;https://en.wikipedia.org/wiki/John_Lennon
Gale Sondergaard;1899-02-15;Litchfield;United States of America;Best Supporting Actress;9th Academy Awards;Anthony Adverse;1937;https://www.nndb.com/people/062/000063870;https://www.imdb.com/name/nm0814216;https://en.wikipedia.org/wiki/Gale_Sondergaard
Jennifer Connelly;1970-12-12;Cairo;United States of America;Best Supporting Actress;74th Academy Awards;A Beautiful Mind;2002;https://www.nndb.com/people/240/000026162;https://www.imdb.com/name/nm0000124;https://en.wikipedia.org/wiki/Jennifer_Connelly
Alec Guinness;1914-04-02;Marylebone;United Kingdom;Best Actor;30th Academy Awards;The Bridge on the River Kwai;1957;https://www.nndb.com/people/751/000023682;https://www.imdb.com/name/nm0000027;https://en.wikipedia.org/wiki/Alec_Guinness
Edmund Gwenn;1877-09-26;London;United Kingdom;Best Supporting Actor;20th Academy Awards;Miracle on 34th Street;1947;https://www.nndb.com/people/123/000063931;https://www.imdb.com/name/nm0350324;https://en.wikipedia.org/wiki/Edmund_Gwenn
Peter Jackson;1961-10-31;Wellington;New Zealand;Best Director;76th Academy Awards;The Lord of the Rings: The Return of the King;2003;https://www.nndb.com/people/848/000025773;https://www.imdb.com/name/nm0001392;https://en.wikipedia.org/wiki/Peter_Jackson
Haing S. Ngor;1940-03-22;French Indochina;Annam;Best Supporting Actor;57th Academy Awards;The Killing Fields;1984;https://www.nndb.com/people/093/000063901;https://www.imdb.com/name/nm0628955;https://en.wikipedia.org/wiki/Haing_S._Ngor
Red Buttons;1919-02-05;Manhattan;United States of America;Best Supporting Actor;30th Academy Awards;Sayonara;1957;https://www.nndb.com/people/820/000022754;https://www.imdb.com/name/nm0000999;https://en.wikipedia.org/wiki/Red_Buttons
George Chakiris;1934-09-16;Norwood;United States of America;Best Supporting Actor;34th Academy Awards;West Side Story;1961;https://www.nndb.com/people/119/000063927;https://www.imdb.com/name/nm0001995;https://en.wikipedia.org/wiki/George_Chakiris
Thelma Schoonmaker;1940-01-03;Algeria;Algeria;Best Film Editing;79th Academy Awards;The Departed;2006;;https://www.imdb.com/name/nm0774817;https://en.wikipedia.org/wiki/Thelma_Schoonmaker
Carl Foreman;1914-07-23;Chicago;United States of America;Best Writing, Adapted Screenplay;30th Academy Awards;The Bridge on the River Kwai;1957;;https://www.imdb.com/name/nm0286025;https://en.wikipedia.org/wiki/Carl_Foreman
Ferenc Rofusz;1946-08-11;Budapest;Hungary;Best Animated Short Film;53rd Academy Awards;The Fly;1981;;https://www.imdb.com/name/nm0736537;https://en.wikipedia.org/wiki/Ferenc_Rofusz
Michael Kahn;1935-12-08;New York City;United States of America;Best Film Editing;71st Academy Awards;Saving Private Ryan;1999;;https://www.imdb.com/name/nm0434883;https://en.wikipedia.org/wiki/Michael_Kahn_(film_editor)
Emmanuel Lubezki;1964-11-30;Mexico City;Mexico;Best Cinematography;87th Academy Awards;Birdman;2014;;https://www.imdb.com/name/nm0523881;https://en.wikipedia.org/wiki/Emmanuel_Lubezki
Steve McQueen;1969-10-09;London;United Kingdom;Best Picture;86th Academy Awards;12 Years a Slave;2014;;https://www.imdb.com/name/nm2588606;https://en.wikipedia.org/wiki/Steve_McQueen_(director)
Steven Spielberg;1946-12-18;Cincinnati;United States of America;Best Picture;66th Academy Awards;Schindler's List;1993;https://www.nndb.com/people/734/000022668;https://www.imdb.com/name/nm0000229;https://en.wikipedia.org/wiki/Steven_Spielberg
Max Steiner;1888-05-10;Vienna;Austria;Best Original Dramatic or Comedy Score;17th Academy Awards;Since You Went Away;1944;https://www.nndb.com/people/433/000205815;https://www.imdb.com/name/nm0000070;https://en.wikipedia.org/wiki/Max_Steiner
George Clooney;1961-05-06;Lexington;United States of America;Best Supporting Actor;78th Academy Awards;Syriana;2005;https://www.nndb.com/people/763/000022697;https://www.imdb.com/name/nm0000123;https://en.wikipedia.org/wiki/George_Clooney
Edmond O'Brien;1915-09-10;New York City;United States of America;Best Supporting Actor;27th Academy Awards;The Barefoot Contessa;1954;https://www.nndb.com/people/620/000042494;https://www.imdb.com/name/nm0639529;https://en.wikipedia.org/wiki/Edmond_O%27Brien
Halle Berry;1966-08-14;Cleveland;United States of America;Best Actress;74th Academy Awards;Monster's Ball;2001;https://www.nndb.com/people/487/000023418;https://www.imdb.com/name/nm0000932;https://en.wikipedia.org/wiki/Halle_Berry
Tyron Montgomery;1967-04-29;Ireland;Ireland;Best Animated Short Film;69th Academy Awards;Quest;1996;;https://www.imdb.com/name/nm0599946;
Sydney Pollack;1934-07-01;New York City;United States of America;Best Picture;58th Academy Awards;Out of Africa;1986;https://www.nndb.com/people/772/000023703;https://www.imdb.com/name/nm0001628;https://en.wikipedia.org/wiki/Sydney_Pollack
Chris Innis;1966-03-20;San Diego;United States of America;Best Film Editing;82nd Academy Awards;The Hurt Locker;2009;;https://www.imdb.com/name/nm0409197;https://en.wikipedia.org/wiki/Chris_Innis
Ghislain Cloquet;1924-04-18;Antwerp;Belgium;Best Cinematography;53rd Academy Awards;Tess;1981;;https://www.imdb.com/name/nm0005669;https://en.wikipedia.org/wiki/Ghislain_Cloquet
Richard Williams;1933-03-19;Toronto;Canada;Best Animated Short Film;45th Academy Awards;A Christmas Carol;1972;;https://www.imdb.com/name/nm0931530;https://en.wikipedia.org/wiki/Richard_Williams_(animator)
Maggie Smith;1934-12-28;Ilford;United Kingdom;Best Supporting Actress;51st Academy Awards;California Suite;1979;https://www.nndb.com/people/260/000030170;https://www.imdb.com/name/nm0001749;https://en.wikipedia.org/wiki/Maggie_Smith
Jessica Lange;1949-04-20;Cloquet;United States of America;Best Actress;67th Academy Awards;Blue Sky;1994;https://www.nndb.com/people/004/000022935;https://www.imdb.com/name/nm0001448;https://en.wikipedia.org/wiki/Jessica_Lange
Jim Broadbent;1949-05-24;Lincoln;United Kingdom;Best Supporting Actor;74th Academy Awards;Iris;2001;https://www.nndb.com/people/092/000063900;https://www.imdb.com/name/nm0000980;https://en.wikipedia.org/wiki/Jim_Broadbent
Jack Nicholson;1937-04-22;Neptune City;United States of America;Best Supporting Actor;56th Academy Awards;Terms of Endearment;1984;https://www.nndb.com/people/722/000022656;https://www.imdb.com/name/nm0000197;https://en.wikipedia.org/wiki/Jack_Nicholson
Sophia Loren;1934-09-20;Rome;Italy;Best Actress;34th Academy Awards;Two Women;1962;https://www.nndb.com/people/811/000023742;https://www.imdb.com/name/nm0000047;https://en.wikipedia.org/wiki/Sophia_Loren
Katharine Hepburn;1907-05-12;Hartford;United States of America;Best Actress;6th Academy Awards;Morning Glory;1933;https://www.nndb.com/people/775/000023706;https://www.imdb.com/name/nm0000031;https://en.wikipedia.org/wiki/Katharine_Hepburn
Francis Ford Coppola;1939-04-07;Detroit;United States of America;Best Picture;47th Academy Awards;The Godfather Part II;1974;https://www.nndb.com/people/866/000022800;https://www.imdb.com/name/nm0000338;https://en.wikipedia.org/wiki/Francis_Ford_Coppola
Elliot Goldenthal;1954-05-02;Brooklyn;United States of America;Best Original Score;75th Academy Awards;Frida;2002;;https://www.imdb.com/name/nm0006106;https://en.wikipedia.org/wiki/Elliot_Goldenthal
Laura Dern;1967-02-10;Los Angeles;United States of America;Best Supporting Actress;92nd Academy Awards;Marriage Story;2020;https://www.nndb.com/people/564/000023495;https://www.imdb.com/name/nm0000368;https://en.wikipedia.org/wiki/Laura_Dern
Anthony Quinn;1915-04-21;Chihuahua;Mexico;Best Supporting Actor;29th Academy Awards;Lust for Life;1956;https://www.nndb.com/people/228/000032132;https://www.imdb.com/name/nm0000063;https://en.wikipedia.org/wiki/Anthony_Quinn
Meryl Streep;1949-06-22;Summit;United States of America;Best Supporting Actress;52nd Academy Awards;Kramer vs. Kramer;1980;https://www.nndb.com/people/001/000024926;https://www.imdb.com/name/nm0000658;https://en.wikipedia.org/wiki/Meryl_Streep
Estelle Parsons;1927-11-20;Marblehead;United States of America;Best Supporting Actress;40th Academy Awards;Bonnie and Clyde;1968;https://www.nndb.com/people/475/000032379;https://www.imdb.com/name/nm0663820;https://en.wikipedia.org/wiki/Estelle_Parsons
Casey Affleck;1975-08-12;Falmouth;United States of America;Best Actor;89th Academy Awards;Manchester by the Sea;2017;https://www.nndb.com/people/339/000026261;https://www.imdb.com/name/nm0000729;https://en.wikipedia.org/wiki/Casey_Affleck
George Burns;1896-01-20;New York City;United States of America;Best Supporting Actor;48th Academy Awards;The Sunshine Boys;1975;https://www.nndb.com/people/895/000022829;https://www.imdb.com/name/nm0122675;https://en.wikipedia.org/wiki/George_Burns
Michel Legrand;1932-02-24;20th arrondissement of Paris;France;Best Original Song Score;56th Academy Awards;Yentl;1984;https://www.nndb.com/people/707/000078473;https://www.imdb.com/name/nm0006166;https://en.wikipedia.org/wiki/Michel_Legrand
John Mills;1908-02-22;Felixstowe;United Kingdom;Best Supporting Actor;43rd Academy Awards;Ryan's Daughter;1970;https://www.nndb.com/people/701/000030611;https://www.imdb.com/name/nm0590055;https://en.wikipedia.org/wiki/John_Mills
Thelma Schoonmaker;1940-01-03;Algeria;Algeria;Best Film Editing;77th Academy Awards;The Aviator;2004;;https://www.imdb.com/name/nm0774817;https://en.wikipedia.org/wiki/Thelma_Schoonmaker
Ralph McQuarrie;1929-06-13;Gary;United States of America;Best Visual Effects;58th Academy Awards;Cocoon;1985;;https://www.imdb.com/name/nm0574319;https://en.wikipedia.org/wiki/Ralph_McQuarrie
Lady Gaga;1986-03-28;Manhattan;United States of America;Best Original Song;91st Academy Awards;Shallow;2019;https://www.nndb.com/people/339/000206718;https://www.imdb.com/name/nm3078932;https://en.wikipedia.org/wiki/Lady_Gaga
Joe Pesci;1943-02-09;Newark;United States of America;Best Supporting Actor;63rd Academy Awards;Goodfellas;1990;https://www.nndb.com/people/582/000022516;https://www.imdb.com/name/nm0000582;https://en.wikipedia.org/wiki/Joe_Pesci
